error, attempt, epochs, momentum, maxAttempts, maxEpochsPerAttempt, epochSize, configuration, ms
15, 0, 6500, 0.1, 8, 7000, 59, "1024-7-3", 62541
15, 1, 4898, 0.1, 8, 7000, 59, "1024-7-3", 118016
15, 2, 280, 0.1, 8, 7000, 59, "1024-7-3", 136460
15, 3, 3585, 0.1, 8, 7000, 59, "1024-7-3", 229706
15, 0, 1367, 0.1, 8, 7000, 59, "1024-7-3", 12733
15, 0, 1063, 0.1, 8, 7000, 59, "1024-7-3", 10002
15, 7, 1442, 0.1, 8, 7000, 59, "1024-7-3", 476190
15, 0, 6249, 0.1, 8, 7000, 59, "1024-7-3", 59678
15, 0, 5966, 0.1, 8, 7000, 59, "1024-7-3", 57317
15, 4, 5971, 0.1, 8, 7000, 59, "1024-7-3", 325906
15, 5, 6452, 0.1, 8, 7000, 59, "1024-7-3", 390400
15, 1, 6454, 0.1, 8, 7000, 59, "1024-7-3", 126167
15, 2, 6018, 0.1, 8, 7000, 59, "1024-7-3", 190099
15, 0, 4237, 0.1, 8, 7000, 59, "1024-7-3", 39174
15, 2, 6792, 0.1, 8, 7000, 59, "1024-7-3", 189898
15, 0, 3811, 0.1, 8, 7000, 59, "1024-7-3", 34187
15, 0, 2251, 0.1, 8, 7000, 59, "1024-7-3", 20149
15, 6, 3923, 0.1, 8, 7000, 59, "1024-7-3", 426026
